"Figure 1. Length of Growing Season in the Contiguous 48 States, 1895-2020",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: Kunkel, 2021",
Web update: April 2021,
Units: days,
,
Year,Deviation from average length of growing season
1895,-3.883333333
1896,-4.256666667
1897,-4.352727273
1898,-4.798787879
1899,-4.838484848
1900,-4.338181818
1901,-3.981818182
1902,-5.185454545
1903,-5.94
1904,-6.468181818
1905,-6.367272727
1906,-6.734545455
1907,-6.420909091
1908,-6.948181818
1909,-6.216363636
1910,-6.400909091
1911,-7.7
1912,-8.36
1913,-7.386363636
1914,-6.317272727
1915,-6.2
1916,-5.76
1917,-4.870909091
1918,-5.07
1919,-4.787272727
1920,-5.263636364
1921,-5.150909091
1922,-3.819090909
1923,-2.781818182
1924,-2.8
1925,-3.411818182
1926,-2.169090909
1927,-2.354545455
1928,-2.476363636
1929,-1.825454545
1930,-1.468181818
1931,-0.743636364
1932,-0.413636364
1933,-0.347272727
1934,0.188181818
1935,0.474545455
1936,1.656363636
1937,0.619090909
1938,0.279090909
1939,-0.071818182
1940,-0.556363636
1941,0.111818182
1942,-0.254545455
1943,0.234545455
1944,-0.007272727
1945,-0.481818182
1946,-0.874545455
1947,-1.933636364
1948,-1.666363636
1949,-1.444545455
1950,-1.67
1951,-1.731818182
1952,-2.086363636
1953,-1.657272727
1954,-2.098181818
1955,-2.213636364
1956,-1.996363636
1957,-1.559090909
1958,-1.134545455
1959,-1.630909091
1960,-1.483636364
1961,-2.302727273
1962,-2.067272727
1963,-2.390909091
1964,-2.746363636
1965,-2.779090909
1966,-2.77
1967,-2.604545455
1968,-2.391818182
1969,-3.372727273
1970,-2.85
1971,-3.314545455
1972,-2.053636364
1973,-1.698181818
1974,-1.313636364
1975,-1.283636364
1976,-1.100909091
1977,-1.009090909
1978,-1.397272727
1979,-1.615454545
1980,-0.303636364
1981,0.194545455
1982,1.259090909
1983,1.148181818
1984,0.385454545
1985,0.966363636
1986,1.419090909
1987,1.517272727
1988,1.392727273
1989,3.050909091
1990,3.305454545
1991,2.884545455
1992,3.090909091
1993,4.577272727
1994,4.951818182
1995,5.866363636
1996,5.861818182
1997,5.725454545
1998,6.25
1999,7.51
2000,7.311818182
2001,7.547272727
2002,8.375454545
2003,8.057272727
2004,7.066363636
2005,7.44
2006,7.890909091
2007,8.574545455
2008,8.626363636
2009,8.62
2010,9.191818182
2011,10.23
2012,11.40727273
2013,11.33363636
2014,11.84363636
2015,11.27181818
2016,11.42621212
2017,11.95060606
2018,11.86318182
2019,12.78757576
2020,13.31833333
